elapsed_s,x_m,y_m,x_covariance_m2,y_covariance_m2,yaw_covariance_rad2
2.334446,0.17403254862501638,-0.06909586433845025,0.279198040994003,0.18350289555816113,0.09362819614415177
3.973347,0.3597503639338475,-0.09617445679575305,0.33223327820168663,0.17004635478999838,0.12299785966401822
5.630253,0.5630283712256665,-0.13235052272223563,0.3596292317302582,0.1770878627205914,0.14769317705096466
7.28022,0.7312673899367392,-0.1329831038433281,0.3703923193415034,0.16535996319287594,0.15521906525878854
8.952341,0.9360839155372387,-0.1518848279449762,0.37795849262560477,0.15924686146797498,0.15462659224487282
10.584896,1.1496493288495504,-0.20000784287621307,0.3693108648772747,0.14817268973453715,0.1540927758467181
12.241974,1.3927179601447024,-0.22729227107381883,0.36089551506029766,0.13474794683248045,0.13670022433789755
14.00073,1.585910959549704,-0.26802117950139837,0.3698647389346779,0.1210698507371157,0.11833965649648223
16.577604,1.7618005208619032,-0.33854013327740906,0.3553712041102934,0.10585321624047828,0.1037018778362343
19.878871,1.9206141882421846,-0.4239877618053175,0.3722353092686362,0.08989353824762163,0.09051489591812567
21.216081,2.087367068918084,-0.4600175702786297,0.3775182934898884,0.07204097173156657,0.08002559451112391
22.86929,2.297112239060221,-0.46647876469173444,0.33308063916769204,0.07486069566358526,0.08799517707036535
24.423135,2.5042393062469643,-0.4648488880142356,0.31384863496591353,0.07150809670636832,0.08165649502101596
25.970163,2.717608466649343,-0.45464735718393234,0.29379176967402454,0.06085115005764825,0.0800779159246601
27.515601,2.9592113987008903,-0.4299938139846415,0.2863360568961042,0.0551028644152817,0.07206996203568096
29.063718,3.1931277589371247,-0.4279687343344591,0.3084679747153464,0.05296553559781091,0.07026490597110237
30.61711,3.453382796266571,-0.44823565326068043,0.29014176538464753,0.047407213775707634,0.07158922696147861
32.156937,3.6591120280300213,-0.4546396450808393,0.26125770345034915,0.04673848368851877,0.0713715080651442
33.713233,3.919555599314358,-0.46013755725793815,0.24378920515344965,0.04070334057136766,0.06959456177533864
35.260784,4.151579358270648,-0.4824446039172038,0.2415083907681393,0.038933526708555884,0.07906673341355903
36.916334,4.413725026732481,-0.5181274218067121,0.24459914670539554,0.031275728663406915,0.07241595671747052
38.458145,4.635643516286844,-0.5559825617728752,0.21283717354628018,0.031568815145222966,0.0676655537171676
40.007416,4.862365299681252,-0.5988152698770517,0.22891678145036734,0.029175789542626354,0.0635472862753398
41.55271,5.0944971558458825,-0.6498640564886377,0.252942301319988,0.03573679767091162,0.06351707322021705
43.215722,5.3069404888204526,-0.6877947433813145,0.26464063027729223,0.03833627084280294,0.06912637287954718
44.867278,5.478150065253667,-0.6979814375782544,0.2557933023445022,0.038435058345923215,0.06192834817701808
47.133506,5.6975248199187325,-0.7082284161181014,0.25976497322441955,0.03883322575315645,0.05790789429739291
50.746666,5.976745321214768,-0.7336760294766635,0.22176331107718011,0.04142248090509988,0.06338706272459536
52.292616,6.241521901977451,-0.7550760381609499,0.2066252255948344,0.039490277583510626,0.06570232658793901
53.843055,6.493878316930526,-0.7399093539759591,0.18843184978416913,0.041065983767649805,0.0742190334157822
55.394865,6.742426378170197,-0.7206241129082092,0.17285315933154494,0.04670128550350903,0.08266997365321319
57.049419,7.014302424579371,-0.7124956186480227,0.1901685131991642,0.05840297853082256,0.09941105504474551
58.7006,7.2934302233468165,-0.707334532908396,0.17847582943773477,0.06750399212170449,0.08927290415996893
60.354257,7.5584780265170535,-0.7138820096004146,0.18421400809804475,0.06518976137618311,0.08252410470039742
62.009656,7.827245120728309,-0.7402903546432549,0.1984218090061612,0.07094479388708314,0.08989046370039279
63.660131,8.114614617735125,-0.7935825919626397,0.2086401852057398,0.08146426831226003,0.09414717906990328
65.424376,8.382794260107675,-0.8813683561794066,0.2127754730340105,0.0868400483891962,0.09421814963872759
67.167567,8.62594475309681,-0.990899611222861,0.22461985656346062,0.0723351871503285,0.08577658715560715
68.922166,8.867328407796965,-1.0466678692687073,0.22996611584879778,0.07088414016209886,0.07727323861253182
70.575298,9.128106031520359,-1.0633193109205297,0.21064211220155057,0.0634816036449679,0.06888038788191472
72.127068,9.398883830300191,-1.0489192590938312,0.18763550088135816,0.05871592696614441,0.06739704223551331
73.878792,9.65349236924868,-1.0155054378924584,0.18267360729196605,0.049650152392445523,0.060176009620723045
76.459655,9.802608706484769,-1.022225651980273,0.18204653921034442,0.052076849442402214,0.059812825424716304
79.046384,10.080641530514086,-1.0592950402451555,0.18044387856616587,0.06630753780002076,0.07109718190869573
80.705177,10.339904418174156,-1.0504377786185517,0.17750510643338696,0.05720368531873765,0.06542503517685856
82.258107,10.597519046112229,-1.032590840576467,0.17833988150712254,0.0620529168006428,0.059880587580666805
83.920642,10.870015282496007,-1.0273280070386386,0.1691424884509917,0.04798455719132255,0.05729103515429936
85.571875,11.181175403571867,-1.0536795077895058,0.17012084851925227,0.053475712078615574,0.058982529529503364
