t_rel_s,stamp_s,recv_s,latency_ms,gap_since_prev_ms,tx,ty
4.199,1788242733.658421,1788242732.756098,-902.323,101.976,7e-05,-0.00798
4.303,1788242733.76132,1788242732.859463,-901.857,103.365,7e-05,-0.00798
4.407,1788242733.864848,1788242732.963719,-901.128,104.257,7e-05,-0.00798
4.512,1788242733.968192,1788242733.069012,-899.179,105.293,7e-05,-0.00798
4.613,1788242734.071369,1788242733.169299,-902.071,100.286,7e-05,-0.00798
4.716,1788242734.174326,1788242733.273039,-901.288,103.74,7e-05,-0.00798
4.821,1788242734.277558,1788242733.378162,-899.395,105.124,7e-05,-0.00798
4.928,1788242734.381495,1788242733.484922,-896.573,106.76,7e-05,-0.00798
5.028,1788242734.483738,1788242733.584511,-899.228,99.589,7e-05,-0.00798
5.129,1788242734.586994,1788242733.685659,-901.335,101.148,7e-05,-0.00798
5.231,1788242734.690425,1788242733.787779,-902.646,102.12,7e-05,-0.00798
5.337,1788242734.793417,1788242733.893864,-899.552,106.085,7e-05,-0.00798
5.439,1788242734.896587,1788242733.995942,-900.645,102.077,7e-05,-0.00798
5.543,1788242735.000503,1788242734.100129,-900.375,104.187,7e-05,-0.00798
5.645,1788242735.103153,1788242734.201836,-901.317,101.708,7e-05,-0.00798
5.748,1788242735.20611,1788242734.304723,-901.386,102.887,7e-05,-0.00798
5.852,1788242735.309233,1788242734.408487,-900.746,103.764,7e-05,-0.00798
5.953,1788242735.412231,1788242734.509712,-902.519,101.224,7e-05,-0.00798
6.058,1788242735.515539,1788242734.614299,-901.24,104.588,7e-05,-0.00798
6.165,1788242735.618993,1788242734.722043,-896.95,107.744,7e-05,-0.00798
6.267,1788242735.721941,1788242734.823401,-898.539,101.359,7e-05,-0.00798
6.368,1788242735.825607,1788242734.924848,-900.759,101.447,7e-05,-0.00798
6.472,1788242735.928922,1788242735.028744,-900.178,103.896,7e-05,-0.00798
6.574,1788242736.031719,1788242735.130566,-901.153,101.822,7e-05,-0.00798
6.676,1788242736.134706,1788242735.232693,-902.013,102.127,7e-05,-0.00798
6.779,1788242736.237774,1788242735.335473,-902.301,102.78,7e-05,-0.00798
6.91,1788242736.34094,1788242735.467218,-873.722,131.745,7e-05,-0.00798
6.985,1788242736.444285,1788242735.541892,-902.394,74.673,7e-05,-0.00798
7.088,1788242736.5472,1788242735.645018,-902.182,103.126,7e-05,-0.00798
7.194,1788242736.650163,1788242735.750809,-899.354,105.792,7e-05,-0.00798
7.296,1788242736.753324,1788242735.853043,-900.281,102.233,7e-05,-0.00798
7.4,1788242736.856464,1788242735.956511,-899.952,103.469,7e-05,-0.00798
7.524,1788242736.959719,1788242736.081006,-878.713,124.495,7e-05,-0.00798
7.606,1788242737.063302,1788242736.163048,-900.254,82.042,7e-05,-0.00798
7.709,1788242737.166469,1788242736.26599,-900.479,102.942,7e-05,-0.00798
7.812,1788242737.269866,1788242736.368629,-901.236,102.64,7e-05,-0.00798
7.916,1788242737.3729,1788242736.472392,-900.508,103.762,7e-05,-0.00798
8.017,1788242737.476116,1788242736.574067,-902.049,101.676,7e-05,-0.00798
8.124,1788242737.579285,1788242736.680997,-898.288,106.93,7e-05,-0.00798
8.225,1788242737.682363,1788242736.781329,-901.034,100.332,7e-05,-0.00798
8.328,1788242737.785795,1788242736.884812,-900.983,103.483,7e-05,-0.00798
8.475,1788242737.888916,1788242737.03228,-856.636,147.468,7e-05,-0.00798
8.536,1788242737.991914,1788242737.092857,-899.057,60.577,7e-05,-0.00798
8.638,1788242738.095064,1788242737.195244,-899.82,102.387,7e-05,-0.00798
8.739,1788242738.198188,1788242737.295525,-902.663,100.281,7e-05,-0.00798
8.847,1788242738.301337,1788242737.404028,-897.309,108.503,7e-05,-0.00798
8.956,1788242738.40482,1788242737.512511,-892.309,108.483,7e-05,-0.00798
9.049,1788242738.50806,1788242737.605595,-902.465,93.083,7e-05,-0.00798
9.152,1788242738.61114,1788242737.70896,-902.18,103.365,7e-05,-0.00798
9.259,1788242738.714341,1788242737.815334,-899.007,106.375,7e-05,-0.00798
9.361,1788242738.817406,1788242737.917932,-899.474,102.598,7e-05,-0.00798
9.468,1788242738.920755,1788242738.024395,-896.36,106.463,7e-05,-0.00798
9.568,1788242739.025597,1788242738.125224,-900.373,100.829,7e-05,-0.00798
9.676,1788242739.128072,1788242738.232533,-895.538,107.309,7e-05,-0.00798
9.773,1788242739.233003,1788242738.329628,-903.375,97.094,7e-05,-0.00798
9.875,1788242739.334455,1788242738.431512,-902.943,101.884,7e-05,-0.00798
9.98,1788242739.43703,1788242738.536561,-900.47,105.049,7e-05,-0.00798
10.082,1788242739.542159,1788242738.639164,-902.995,102.604,7e-05,-0.00798
10.183,1788242739.643604,1788242738.740188,-903.415,101.024,7e-05,-0.00798
10.289,1788242739.74635,1788242738.846251,-900.099,106.063,7e-05,-0.00798
10.395,1788242739.849521,1788242738.952223,-897.298,105.972,7e-05,-0.00798
10.5,1788242739.952734,1788242739.056622,-896.112,104.398,7e-05,-0.00798
10.598,1788242740.055921,1788242739.155023,-900.898,98.401,7e-05,-0.00798
10.703,1788242740.159173,1788242739.259679,-899.493,104.657,7e-05,-0.00798
10.804,1788242740.262954,1788242739.360657,-902.298,100.977,7e-05,-0.00798
10.907,1788242740.365908,1788242739.46353,-902.378,102.873,7e-05,-0.00798
11.013,1788242740.469269,1788242739.569282,-899.987,105.753,7e-05,-0.00798
11.116,1788242740.572419,1788242739.67239,-900.029,103.108,7e-05,-0.00798
11.218,1788242740.675608,1788242739.774582,-901.026,102.192,7e-05,-0.00798
11.322,1788242740.778672,1788242739.878608,-900.065,104.026,7e-05,-0.00798
11.425,1788242740.88173,1788242739.982148,-899.582,103.54,7e-05,-0.00798
11.529,1788242740.986515,1788242740.085578,-900.936,103.431,7e-05,-0.00798
11.629,1788242741.090217,1788242740.185691,-904.526,100.112,7e-05,-0.00798
11.732,1788242741.192146,1788242740.288734,-903.412,103.043,7e-05,-0.00798
11.84,1788242741.295336,1788242740.39642,-898.916,107.686,7e-05,-0.00798
11.938,1788242741.39845,1788242740.494642,-903.808,98.222,7e-05,-0.00798
12.043,1788242741.50143,1788242740.599465,-901.964,104.823,7e-05,-0.00798
12.146,1788242741.604739,1788242740.702863,-901.876,103.398,7e-05,-0.00798
12.284,1788242741.70792,1788242740.840765,-867.155,137.902,7e-05,-0.00798
12.351,1788242741.810907,1788242740.908153,-902.754,67.388,7e-05,-0.00798
12.458,1788242741.914191,1788242741.014594,-899.597,106.441,7e-05,-0.00798
12.562,1788242742.017518,1788242741.119045,-898.472,104.452,7e-05,-0.00798
12.663,1788242742.120512,1788242741.219772,-900.74,100.727,7e-05,-0.00798
12.766,1788242742.223725,1788242741.32315,-900.575,103.378,7e-05,-0.00798
