t_rel_s,stamp_s,x,y,yaw_deg,cov_xx,cov_xy,cov_yy,cov_yawyaw,trace_xy,sigma_x_m,sigma_y_m,sigma_yaw_deg
233.08,1788242960.570477,7.2071,-0.6143,-0.545,0.139244,-0.0133313,0.0638467,0.107094,0.20309,0.37315,0.25268,18.7502
235.121,1788242963.575895,7.449,-0.6168,0.433,0.163326,-0.0170491,0.0694409,0.0993086,0.232767,0.40414,0.26352,18.0558
236.679,1788242965.130318,7.6816,-0.607,0.639,0.170976,-0.0185445,0.0763228,0.0923095,0.247299,0.41349,0.27627,17.4079
238.227,1788242966.684298,7.9191,-0.6175,-0.9,0.182282,-0.0203461,0.0686093,0.0808837,0.250891,0.42695,0.26193,16.2950
239.78,1788242968.238463,8.1536,-0.6507,-2.399,0.186149,-0.0224528,0.0650276,0.0703512,0.251177,0.43145,0.25501,15.1970
241.334,1788242969.79372,8.4065,-0.6774,-1.853,0.177772,-0.0250126,0.0627247,0.0710082,0.240496,0.42163,0.25045,15.2678
242.888,1788242971.347612,8.6629,-0.7043,-1.601,0.179807,-0.0250455,0.0599219,0.0700601,0.239729,0.42404,0.24479,15.1655
244.547,1788242973.00554,8.9209,-0.7377,-0.819,0.172569,-0.0168754,0.0532668,0.0697246,0.225835,0.41541,0.23080,15.1292
246.108,1788242974.561628,9.1611,-0.7522,0.02,0.182168,-0.0113338,0.0476492,0.0608627,0.229817,0.42681,0.21829,14.1351
247.761,1788242976.22047,9.4091,-0.7683,3.993,0.178393,-0.0100471,0.0358627,0.0623274,0.214256,0.42237,0.18937,14.3042
249.42,1788242977.87856,9.6014,-0.7248,18.289,0.195414,-0.0148338,0.0285633,0.0638541,0.223977,0.44206,0.16901,14.4783
252.324,1788242980.782032,9.8345,-0.641,27.994,0.197259,-0.024212,0.0337584,0.0685378,0.231017,0.44414,0.18373,14.9999
254.192,1788242982.650697,9.8685,-0.6303,13.706,0.177452,-0.0218093,0.0269147,0.0573991,0.204367,0.42125,0.16406,13.7270
254.715,1788242983.169137,9.8694,-0.6279,0.804,0.182399,-0.0197329,0.0204918,0.0444536,0.202891,0.42708,0.14315,12.0803
256.68,1788242985.136757,10.1184,-0.6343,-0.704,0.179972,-0.0242795,0.0246764,0.0596395,0.204649,0.42423,0.15709,13.9923
258.232,1788242986.691076,10.3667,-0.6313,-0.19,0.169648,-0.0235264,0.0280114,0.0684333,0.19766,0.41188,0.16737,14.9884
259.787,1788242988.246035,10.6417,-0.6394,0.226,0.152208,-0.0232362,0.0310328,0.0685311,0.18324,0.39014,0.17616,14.9991
